customerID,churn_probability,risk_band,recommended_action
4667-qonea,0.0921,Low,No action required
1658-bygoy,0.8092,High,Offer retention discount immediately
8769-kktph,0.2841,Low,No action required
5067-xjqfu,0.2804,Low,No action required
3957-sqxml,0.0664,Low,No action required
5954-bdfsg,0.1433,Low,No action required
0434-csfon,0.6971,Medium,Send personalized engagement email
1215-figmp,0.4609,Medium,Send personalized engagement email
0526-sxdjp,0.0526,Low,No action required
0557-askvu,0.1835,Low,No action required
5698-bqjoh,0.8162,High,Offer retention discount immediately
5122-cyfxa,0.8063,High,Offer retention discount immediately
8627-zygsz,0.2816,Low,No action required
3410-yoqbq,0.1469,Low,No action required
3170-nmyvv,0.05,Low,No action required
7410-oiedu,0.7798,High,Offer retention discount immediately
2273-qckxa,0.676,Medium,Send personalized engagement email
0731-ebjqb,0.0717,Low,No action required
1891-qrqsa,0.2283,Low,No action required
8028-pnxhq,0.0492,Low,No action required
5630-ahzil,0.6258,Medium,Send personalized engagement email
2673-cxqeu,0.4138,Medium,Send personalized engagement email
6416-jnvrk,0.1591,Low,No action required
5590-zskrv,0.4161,Medium,Send personalized engagement email
0191-zhskz,0.6452,Medium,Send personalized engagement email
3887-pbqao,0.1254,Low,No action required
5919-tmrgd,0.9114,High,Offer retention discount immediately
8108-uxrqn,0.4809,Medium,Send personalized engagement email
9191-myqkx,0.7525,High,Offer retention discount immediately
9919-ylnng,0.5934,Medium,Send personalized engagement email
0318-zopws,0.0621,Low,No action required
4445-zjnmu,0.8611,High,Offer retention discount immediately
4808-ynleu,0.183,Low,No action required
1862-qrwpe,0.0494,Low,No action required
2796-nnufi,0.056,Low,No action required
3016-ksvcp,0.3096,Low,No action required
4767-hzzhq,0.5052,Medium,Send personalized engagement email
2424-wvhpl,0.8952,High,Offer retention discount immediately
7233-pahhl,0.0741,Low,No action required
6067-ngceu,0.5384,Medium,Send personalized engagement email
9848-jqjtx,0.1162,Low,No action required
8637-xjivr,0.8103,High,Offer retention discount immediately
9803-ftjcg,0.0815,Low,No action required
0278-yxoog,0.3883,Low,No action required
3212-kxocr,0.0586,Low,No action required
4598-xlknj,0.8175,High,Offer retention discount immediately
6380-arceh,0.5832,Medium,Send personalized engagement email
3679-xaspy,0.6681,Medium,Send personalized engagement email
7123-wquhx,0.2803,Low,No action required
5386-thslq,0.1179,Low,No action required
3192-nqeca,0.3449,Low,No action required
6180-ybiqi,0.4573,Medium,Send personalized engagement email
6728-dkuco,0.2194,Low,No action required
9750-boohv,0.1416,Low,No action required
8597-cwyhh,0.3014,Low,No action required
2848-yxsmw,0.0254,Low,No action required
0486-heczi,0.645,Medium,Send personalized engagement email
4549-zdqyy,0.1359,Low,No action required
5712-ahqnn,0.6561,Medium,Send personalized engagement email
4846-whafz,0.7061,High,Offer retention discount immediately
5256-skjgo,0.1917,Low,No action required
3071-vbypo,0.8085,High,Offer retention discount immediately
9560-bbzxk,0.1416,Low,No action required
5299-ruloa,0.8788,High,Offer retention discount immediately
8402-ooohj,0.0536,Low,No action required
9445-zueqe,0.5739,Medium,Send personalized engagement email
1091-sozga,0.305,Low,No action required
2928-hldba,0.2421,Low,No action required
0404-swrvg,0.8395,High,Offer retention discount immediately
6497-tilvl,0.4187,Medium,Send personalized engagement email
7219-tlzho,0.2821,Low,No action required
4622-ynkij,0.3102,Low,No action required
4412-yltkf,0.7101,High,Offer retention discount immediately
6734-psbaw,0.0362,Low,No action required
3930-zgwve,0.5832,Medium,Send personalized engagement email
2639-ugmaz,0.1687,Low,No action required
2876-gzyzc,0.8295,High,Offer retention discount immediately
6207-wiolx,0.3337,Low,No action required
8587-xyzsf,0.119,Low,No action required
3091-fyhki,0.8269,High,Offer retention discount immediately
2372-hwuhi,0.6776,Medium,Send personalized engagement email
7799-lgrdp,0.1539,Low,No action required
7850-vwjuu,0.5324,Medium,Send personalized engagement email
3774-vbnxy,0.0393,Low,No action required
6217-kdywc,0.0599,Low,No action required
0390-dcfdq,0.8563,High,Offer retention discount immediately
3146-msegf,0.0382,Low,No action required
4080-ogpjl,0.7018,High,Offer retention discount immediately
1095-wgngg,0.3599,Low,No action required
2636-sjdou,0.1492,Low,No action required
1131-qqzeb,0.0407,Low,No action required
5716-ezxzn,0.2654,Low,No action required
6837-bjydq,0.0845,Low,No action required
2135-rxihg,0.8269,High,Offer retention discount immediately
6440-dkqge,0.1212,Low,No action required
3466-byavd,0.5177,Medium,Send personalized engagement email
3780-yvmfa,0.7195,High,Offer retention discount immediately
3874-eqoep,0.7903,High,Offer retention discount immediately
1679-jrfbr,0.2414,Low,No action required
9073-zziay,0.1442,Low,No action required
3077-rsntj,0.2373,Low,No action required
6551-gnydg,0.6696,Medium,Send personalized engagement email
9167-apmxz,0.6526,Medium,Send personalized engagement email
2749-ctkaj,0.0581,Low,No action required
6371-nzyeg,0.1554,Low,No action required
7554-newdd,0.1069,Low,No action required
8992-vonjd,0.6007,Medium,Send personalized engagement email
0867-mkzvy,0.6565,Medium,Send personalized engagement email
4482-ewfmi,0.8295,High,Offer retention discount immediately
4648-ypbtm,0.1517,Low,No action required
2907-iljbn,0.0681,Low,No action required
6345-fzoqh,0.0435,Low,No action required
3376-bmgfe,0.7735,High,Offer retention discount immediately
5997-opvfa,0.0483,Low,No action required
3445-hxxgf,0.5017,Medium,Send personalized engagement email
1159-wfsgr,0.2381,Low,No action required
7654-ywjuf,0.1924,Low,No action required
1875-qivme,0.9081,High,Offer retention discount immediately
6727-iotlz,0.1584,Low,No action required
0691-jvsya,0.3272,Low,No action required
5918-vukwp,0.0506,Low,No action required
1744-jhkys,0.3541,Low,No action required
2656-fmokz,0.677,Medium,Send personalized engagement email
2070-fnexe,0.7121,High,Offer retention discount immediately
5947-sgkcl,0.7563,High,Offer retention discount immediately
3712-pkxza,0.0498,Low,No action required
6317-ypkdh,0.664,Medium,Send personalized engagement email
6582-oivsp,0.6847,Medium,Send personalized engagement email
9367-wxlch,0.7663,High,Offer retention discount immediately
5524-khnjp,0.1572,Low,No action required
1918-zbfqj,0.8133,High,Offer retention discount immediately
1024-guald,0.8064,High,Offer retention discount immediately
4827-usjhp,0.4319,Medium,Send personalized engagement email
8167-gjlrn,0.639,Medium,Send personalized engagement email
0956-sycwg,0.0794,Low,No action required
8017-uvszu,0.3435,Low,No action required
7100-fqprv,0.1786,Low,No action required
2472-ovkup,0.8711,High,Offer retention discount immediately
2984-rgeya,0.0432,Low,No action required
9680-niauv,0.0541,Low,No action required
2146-egvdt,0.0358,Low,No action required
2604-ijpdu,0.787,High,Offer retention discount immediately
9178-jhuvj,0.0782,Low,No action required
6168-ybynp,0.6351,Medium,Send personalized engagement email
7255-ssfbc,0.0736,Low,No action required
3645-deygf,0.5737,Medium,Send personalized engagement email
9323-hgfwy,0.4819,Medium,Send personalized engagement email
8544-goqsh,0.6825,Medium,Send personalized engagement email
3363-dtivd,0.1725,Low,No action required
7018-wbjnk,0.7033,High,Offer retention discount immediately
9142-kzxop,0.4062,Medium,Send personalized engagement email
7674-ytafd,0.2132,Low,No action required
6348-snfus,0.0582,Low,No action required
1285-okipp,0.8857,High,Offer retention discount immediately
7825-ecjrf,0.7811,High,Offer retention discount immediately
1347-kttta,0.2906,Low,No action required
7841-tzdmq,0.6919,Medium,Send personalized engagement email
4195-nzgta,0.7222,High,Offer retention discount immediately
7157-smcfk,0.0477,Low,No action required
4709-lkhyg,0.0578,Low,No action required
2504-dshih,0.6778,Medium,Send personalized engagement email
0699-ndkjm,0.2768,Low,No action required
9286-bhdqg,0.0424,Low,No action required
0230-wequw,0.1107,Low,No action required
2040-ldiwq,0.0741,Low,No action required
6496-jdssb,0.7834,High,Offer retention discount immediately
9408-ssnvz,0.8295,High,Offer retention discount immediately
4443-embna,0.0407,Low,No action required
6469-mrvet,0.1911,Low,No action required
0742-moabm,0.5301,Medium,Send personalized engagement email
5961-vusrv,0.0886,Low,No action required
6778-jfcmk,0.1614,Low,No action required
6341-jvqgf,0.1179,Low,No action required
2232-dmlxu,0.676,Medium,Send personalized engagement email
4811-jbuvu,0.598,Medium,Send personalized engagement email
0945-tsonx,0.1062,Low,No action required
2651-zcbxv,0.4402,Medium,Send personalized engagement email
3316-uwxuy,0.5489,Medium,Send personalized engagement email
8937-rdthp,0.8923,High,Offer retention discount immediately
7083-miopc,0.0255,Low,No action required
1984-gpteh,0.3541,Low,No action required
1251-krreg,0.6883,Medium,Send personalized engagement email
0621-jfhol,0.2131,Low,No action required
9903-lysab,0.7199,High,Offer retention discount immediately
0094-oifmo,0.8508,High,Offer retention discount immediately
9227-uaqft,0.0715,Low,No action required
7301-abvad,0.0483,Low,No action required
6614-fhdbo,0.087,Low,No action required
7576-aseju,0.1928,Low,No action required
9058-hrzsv,0.5448,Medium,Send personalized engagement email
4522-akylr,0.6386,Medium,Send personalized engagement email
0221-wmxnq,0.7815,High,Offer retention discount immediately
0303-uncip,0.1599,Low,No action required
9947-otfqu,0.7691,High,Offer retention discount immediately
0322-yinqp,0.7368,High,Offer retention discount immediately
0959-whokv,0.505,Medium,Send personalized engagement email
4075-jfpgr,0.3925,Low,No action required
4629-nrxkx,0.7436,High,Offer retention discount immediately
9514-jdski,0.8453,High,Offer retention discount immediately
3282-ziszv,0.1374,Low,No action required
3675-ydupj,0.2999,Low,No action required
4111-bnxif,0.1975,Low,No action required
7017-vfhay,0.1994,Low,No action required
6655-lhbyw,0.3859,Low,No action required
4959-josrx,0.6919,Medium,Send personalized engagement email
5046-nuhwd,0.5145,Medium,Send personalized engagement email
7273-tefqd,0.791,High,Offer retention discount immediately
3606-twkgi,0.883,High,Offer retention discount immediately
7529-zdfxi,0.6477,Medium,Send personalized engagement email
7605-bdwdc,0.1362,Low,No action required
1950-ksvvj,0.3777,Low,No action required
0123-crbrt,0.0911,Low,No action required
6292-tosss,0.0732,Low,No action required
3197-arfoy,0.6722,Medium,Send personalized engagement email
6323-aybrx,0.0549,Low,No action required
7014-zzxaw,0.0556,Low,No action required
4385-gzqxv,0.7939,High,Offer retention discount immediately
7633-mvpuy,0.2202,Low,No action required
6366-zgqgl,0.6398,Medium,Send personalized engagement email
4716-hhkqh,0.7668,High,Offer retention discount immediately
5940-ahuhd,0.8068,High,Offer retention discount immediately
6432-twqlb,0.8704,High,Offer retention discount immediately
4484-glzou,0.71,High,Offer retention discount immediately
3179-gbrwv,0.4083,Medium,Send personalized engagement email
8645-kwhjo,0.5806,Medium,Send personalized engagement email
4130-mzlcc,0.5301,Medium,Send personalized engagement email
0314-tkosi,0.455,Medium,Send personalized engagement email
8229-myejz,0.5345,Medium,Send personalized engagement email
2080-srcde,0.6144,Medium,Send personalized engagement email
9577-wjvcq,0.2602,Low,No action required
9512-uibfx,0.5836,Medium,Send personalized engagement email
6202-dyyfx,0.2207,Low,No action required
3808-hfkde,0.6133,Medium,Send personalized engagement email
5583-sxdag,0.8655,High,Offer retention discount immediately
3488-pgmqj,0.8315,High,Offer retention discount immediately
3580-reoac,0.5058,Medium,Send personalized engagement email
7534-bfesc,0.7111,High,Offer retention discount immediately
3727-owvyd,0.1145,Low,No action required
2294-salne,0.1429,Low,No action required
4847-tajyi,0.8873,High,Offer retention discount immediately
1563-iwqex,0.2597,Low,No action required
8203-xjzrc,0.5832,Medium,Send personalized engagement email
6556-dbkzf,0.1381,Low,No action required
6851-wefyx,0.7571,High,Offer retention discount immediately
2985-juubz,0.6518,Medium,Send personalized engagement email
6390-dsazx,0.83,High,Offer retention discount immediately
0895-lmrsf,0.1614,Low,No action required
8098-llazx,0.8961,High,Offer retention discount immediately
8266-vbfql,0.8711,High,Offer retention discount immediately
8181-yhcmf,0.0953,Low,No action required
2240-hsjqd,0.5662,Medium,Send personalized engagement email
1248-dyxub,0.06,Low,No action required
0265-edxbd,0.7049,High,Offer retention discount immediately
4115-bnpjy,0.1256,Low,No action required
3167-snqpl,0.6718,Medium,Send personalized engagement email
4091-tvocn,0.1771,Low,No action required
1098-tdvuq,0.6266,Medium,Send personalized engagement email
7277-ozcgz,0.7332,High,Offer retention discount immediately
1557-emyvt,0.3935,Low,No action required
2799-arnlo,0.8015,High,Offer retention discount immediately
7563-biupc,0.858,High,Offer retention discount immediately
5027-yocxn,0.3118,Low,No action required
3973-skmln,0.047,Low,No action required
2321-ombxy,0.174,Low,No action required
2840-xanrc,0.7541,High,Offer retention discount immediately
6745-jefzb,0.583,Medium,Send personalized engagement email
5020-zstty,0.1404,Low,No action required
9880-tdqac,0.1695,Low,No action required
8705-wzcyl,0.8269,High,Offer retention discount immediately
7102-jjvtx,0.1818,Low,No action required
8626-ptqge,0.1107,Low,No action required
4983-clmlv,0.6125,Medium,Send personalized engagement email
5701-yvsvf,0.8334,High,Offer retention discount immediately
5804-lepim,0.8323,High,Offer retention discount immediately
5697-gombf,0.5163,Medium,Send personalized engagement email
2739-cacdq,0.6709,Medium,Send personalized engagement email
9385-ehgdo,0.0632,Low,No action required
9498-fimxl,0.0606,Low,No action required
2379-gyflq,0.3306,Low,No action required
0122-oahpz,0.8309,High,Offer retention discount immediately
2868-snelz,0.765,High,Offer retention discount immediately
4322-rcymt,0.1225,Low,No action required
6680-nenyn,0.5788,Medium,Send personalized engagement email
2088-iebau,0.1531,Low,No action required
7982-vcelr,0.583,Medium,Send personalized engagement email
1343-ehpyb,0.6813,Medium,Send personalized engagement email
6035-bxtty,0.3797,Low,No action required
6885-pkoam,0.0678,Low,No action required
7520-hqwju,0.2649,Low,No action required
9639-bujxt,0.0441,Low,No action required
5924-sngkp,0.0592,Low,No action required
0021-ikxgc,0.9139,High,Offer retention discount immediately
2034-gdrcn,0.8846,High,Offer retention discount immediately
8966-snizf,0.0483,Low,No action required
6243-ozgfh,0.5613,Medium,Send personalized engagement email
4654-dlamq,0.2238,Low,No action required
0513-rbgpe,0.1736,Low,No action required
5160-uxjed,0.1535,Low,No action required
4115-nzrks,0.8679,High,Offer retention discount immediately
0219-ytzue,0.8406,High,Offer retention discount immediately
0623-iihug,0.6837,Medium,Send personalized engagement email
4572-dvcgn,0.7798,High,Offer retention discount immediately
3351-ngxyi,0.6386,Medium,Send personalized engagement email
8984-eylll,0.4405,Medium,Send personalized engagement email
9057-mswco,0.4364,Medium,Send personalized engagement email
9833-tgfhx,0.3594,Low,No action required
9294-tdipc,0.2651,Low,No action required
5229-dtfyb,0.3802,Low,No action required
0104-ppxdv,0.1272,Low,No action required
5176-lmjxe,0.0605,Low,No action required
3583-krkmd,0.5952,Medium,Send personalized engagement email
1010-diauq,0.8133,High,Offer retention discount immediately
9069-lgeul,0.3603,Low,No action required
7302-zhmhp,0.3968,Low,No action required
9571-edebv,0.1574,Low,No action required
3520-fjgcv,0.0736,Low,No action required
6563-vrerx,0.0494,Low,No action required
0259-gbzsh,0.8735,High,Offer retention discount immediately
6122-efvkn,0.1283,Low,No action required
2805-edjpq,0.3179,Low,No action required
6862-cqumb,0.6166,Medium,Send personalized engagement email
7156-mxbje,0.1486,Low,No action required
6158-hdpxz,0.6482,Medium,Send personalized engagement email
9601-brxpo,0.7009,High,Offer retention discount immediately
2863-imqdr,0.1862,Low,No action required
5686-cmawk,0.2702,Low,No action required
5651-crhkq,0.1924,Low,No action required
6905-niqin,0.676,Medium,Send personalized engagement email
8204-yjcla,0.0481,Low,No action required
5167-zffmm,0.9038,High,Offer retention discount immediately
6583-szvgp,0.4855,Medium,Send personalized engagement email
4895-tmwir,0.3522,Low,No action required
0533-bnwkf,0.6477,Medium,Send personalized engagement email
1708-pbboa,0.2608,Low,No action required
8782-lkfpk,0.5509,Medium,Send personalized engagement email
5522-jbwmo,0.726,High,Offer retention discount immediately
3597-mvhjt,0.6599,Medium,Send personalized engagement email
9774-nrnau,0.4926,Medium,Send personalized engagement email
0224-rlwwd,0.8013,High,Offer retention discount immediately
9967-atrfs,0.1988,Low,No action required
3951-njcvi,0.7319,High,Offer retention discount immediately
2977-cebsx,0.0927,Low,No action required
0177-pxbat,0.6238,Medium,Send personalized engagement email
6599-cebnn,0.5541,Medium,Send personalized engagement email
2519-erqoj,0.4698,Medium,Send personalized engagement email
5876-qmyld,0.0497,Low,No action required
2277-axsdc,0.0554,Low,No action required
9442-jtwdl,0.0757,Low,No action required
0979-phulv,0.5283,Medium,Send personalized engagement email
3067-svmtc,0.1135,Low,No action required
5495-gpsrw,0.0799,Low,No action required
7606-bphhn,0.0375,Low,No action required
4742-drora,0.245,Low,No action required
0111-klbqg,0.6468,Medium,Send personalized engagement email
4800-vhzki,0.6351,Medium,Send personalized engagement email
7989-chgtl,0.6351,Medium,Send personalized engagement email
0334-gddso,0.8612,High,Offer retention discount immediately
4163-ncjak,0.0861,Low,No action required
5233-aozuf,0.6591,Medium,Send personalized engagement email
5973-ejgdp,0.6061,Medium,Send personalized engagement email
1996-dbmus,0.5267,Medium,Send personalized engagement email
7916-vccpb,0.5259,Medium,Send personalized engagement email
4686-gefrm,0.2846,Low,No action required
5249-qyhex,0.0773,Low,No action required
0578-skvmf,0.6475,Medium,Send personalized engagement email
5564-nemqo,0.8757,High,Offer retention discount immediately
2233-fagxv,0.4741,Medium,Send personalized engagement email
5605-iygfg,0.7312,High,Offer retention discount immediately
7663-ztegj,0.3604,Low,No action required
3935-tbrzz,0.0681,Low,No action required
8111-bkvds,0.4445,Medium,Send personalized engagement email
2055-sifss,0.3783,Low,No action required
2806-mlnti,0.4711,Medium,Send personalized engagement email
8734-dkstz,0.7798,High,Offer retention discount immediately
4360-pnrqb,0.5952,Medium,Send personalized engagement email
6152-onasv,0.1135,Low,No action required
9063-zgtuy,0.183,Low,No action required
7781-hvgmk,0.0481,Low,No action required
2181-uaesm,0.6825,Medium,Send personalized engagement email
2957-lolho,0.4925,Medium,Send personalized engagement email
6048-njxhx,0.0968,Low,No action required
2320-slkmb,0.3434,Low,No action required
4980-urkxc,0.0595,Low,No action required
4376-kfvrs,0.1138,Low,No action required
5886-vlqvu,0.583,Medium,Send personalized engagement email
3577-amvux,0.6617,Medium,Send personalized engagement email
0771-wlcla,0.7135,High,Offer retention discount immediately
5628-rkifk,0.6079,Medium,Send personalized engagement email
0206-tbwlc,0.4211,Medium,Send personalized engagement email
2937-fthur,0.4773,Medium,Send personalized engagement email
1910-fmxjm,0.5681,Medium,Send personalized engagement email
7752-xusci,0.6748,Medium,Send personalized engagement email
4110-pfeuz,0.8421,High,Offer retention discount immediately
0732-ocqoc,0.0661,Low,No action required
5168-mswxt,0.8573,High,Offer retention discount immediately
1090-eselr,0.0565,Low,No action required
8592-pltmq,0.0545,Low,No action required
5760-wrahc,0.5385,Medium,Send personalized engagement email
8847-geooq,0.262,Low,No action required
0256-lthvj,0.6853,Medium,Send personalized engagement email
4785-fcifb,0.0545,Low,No action required
8313-ndoia,0.8061,High,Offer retention discount immediately
5149-cuzuj,0.1697,Low,No action required
0942-kowsm,0.1317,Low,No action required
4237-clsmm,0.3693,Low,No action required
1452-voqch,0.9116,High,Offer retention discount immediately
4719-umsiy,0.2373,Low,No action required
6614-vbegu,0.4145,Medium,Send personalized engagement email
0880-tkatg,0.8294,High,Offer retention discount immediately
3811-vbybz,0.9032,High,Offer retention discount immediately
1480-bkxga,0.1053,Low,No action required
2996-xauvf,0.1379,Low,No action required
9076-axyik,0.3414,Low,No action required
5968-xqive,0.1927,Low,No action required
8896-razcr,0.0507,Low,No action required
4640-uhdos,0.4801,Medium,Send personalized engagement email
4933-ikulf,0.0623,Low,No action required
3583-ekapl,0.8211,High,Offer retention discount immediately
1304-bccfo,0.6746,Medium,Send personalized engagement email
4104-pvrps,0.293,Low,No action required
9399-aplbt,0.9024,High,Offer retention discount immediately
2359-kmgli,0.702,High,Offer retention discount immediately
3780-ddgse,0.683,Medium,Send personalized engagement email
4431-edmiq,0.7227,High,Offer retention discount immediately
0306-jaele,0.891,High,Offer retention discount immediately
6227-hwpwx,0.4556,Medium,Send personalized engagement email
0486-lgcch,0.0745,Low,No action required
0447-bemng,0.3549,Low,No action required
4612-ssvhj,0.7725,High,Offer retention discount immediately
5168-mqqca,0.124,Low,No action required
5949-xikae,0.8428,High,Offer retention discount immediately
7971-hlvxi,0.0719,Low,No action required
9094-azphk,0.8307,High,Offer retention discount immediately
3649-jpugy,0.0483,Low,No action required
4472-lvygi,0.2066,Low,No action required
8372-juxui,0.9024,High,Offer retention discount immediately
3552-ctcyf,0.3308,Low,No action required
6778-ysnih,0.7757,High,Offer retention discount immediately
0388-eopex,0.8395,High,Offer retention discount immediately
5756-ozrio,0.1135,Low,No action required
6579-jpicp,0.5832,Medium,Send personalized engagement email
8205-otchb,0.2088,Low,No action required
4134-bsxlx,0.26,Low,No action required
0505-spoow,0.0465,Low,No action required
6235-vdhom,0.6683,Medium,Send personalized engagement email
7783-ykgdv,0.833,High,Offer retention discount immediately
4374-ymusq,0.3935,Low,No action required
4513-cxyix,0.1079,Low,No action required
3957-hhlmr,0.1012,Low,No action required
7803-xoccz,0.4971,Medium,Send personalized engagement email
5736-yejax,0.0989,Low,No action required
5609-cebid,0.7854,High,Offer retention discount immediately
8981-fjgla,0.7071,High,Offer retention discount immediately
7218-hkqfk,0.8787,High,Offer retention discount immediately
4636-qrjky,0.8492,High,Offer retention discount immediately
1135-lmecx,0.5832,Medium,Send personalized engagement email
4332-muoez,0.3323,Low,No action required
8535-sfutn,0.6654,Medium,Send personalized engagement email
5956-vkdtt,0.8457,High,Offer retention discount immediately
8677-hdzee,0.6074,Medium,Send personalized engagement email
2475-mrozf,0.5879,Medium,Send personalized engagement email
9412-gheec,0.5456,Medium,Send personalized engagement email
3482-abpkk,0.1278,Low,No action required
6705-lxorm,0.7722,High,Offer retention discount immediately
0257-zesqc,0.5574,Medium,Send personalized engagement email
7531-gqhme,0.2467,Low,No action required
5174-itumv,0.3888,Low,No action required
4109-cyrbd,0.5186,Medium,Send personalized engagement email
0913-xwscn,0.4093,Medium,Send personalized engagement email
6825-uypfk,0.4406,Medium,Send personalized engagement email
8397-mvtaz,0.7371,High,Offer retention discount immediately
0750-ebaiu,0.2247,Low,No action required
8606-ciqul,0.0736,Low,No action required
3571-dpyuh,0.2795,Low,No action required
7601-gndyk,0.0541,Low,No action required
0356-obmac,0.411,Medium,Send personalized engagement email
8067-nioym,0.0611,Low,No action required
1403-gyafu,0.0378,Low,No action required
4234-xtnea,0.858,High,Offer retention discount immediately
1297-vqdrp,0.3308,Low,No action required
9282-izgqk,0.9259,High,Offer retention discount immediately
5348-cagxb,0.8438,High,Offer retention discount immediately
0621-hjwxj,0.4515,Medium,Send personalized engagement email
5844-qvtat,0.1392,Low,No action required
8905-iazpf,0.2805,Low,No action required
5394-meitz,0.0732,Low,No action required
6859-qnxiq,0.0736,Low,No action required
2782-lfzvw,0.4822,Medium,Send personalized engagement email
2866-ikbtm,0.5832,Medium,Send personalized engagement email
1342-jpnki,0.8094,High,Offer retention discount immediately
2817-ntqdo,0.4879,Medium,Send personalized engagement email
7129-azjde,0.2054,Low,No action required
6986-ijdhx,0.5755,Medium,Send personalized engagement email
2560-ppche,0.3767,Low,No action required
4676-mquea,0.4769,Medium,Send personalized engagement email
8138-ealnd,0.2354,Low,No action required
3580-hycsp,0.0766,Low,No action required
1352-hnsaw,0.0736,Low,No action required
2075-puepr,0.0543,Low,No action required
1982-febtd,0.0782,Low,No action required
5301-gauuy,0.5802,Medium,Send personalized engagement email
5791-kajfd,0.1163,Low,No action required
2654-vbvpb,0.5832,Medium,Send personalized engagement email
1154-hywwo,0.1388,Low,No action required
2501-xwwtz,0.6927,Medium,Send personalized engagement email
3716-uvspd,0.8211,High,Offer retention discount immediately
6815-abqfq,0.5165,Medium,Send personalized engagement email
7343-eobeu,0.5379,Medium,Send personalized engagement email
3701-sfmuh,0.6336,Medium,Send personalized engagement email
6103-lianb,0.3026,Low,No action required
7319-venrz,0.394,Low,No action required
5846-neqvz,0.0828,Low,No action required
6967-qiqrv,0.4523,Medium,Send personalized engagement email
5781-rfzrp,0.0614,Low,No action required
0939-yapaf,0.7292,High,Offer retention discount immediately
0308-ivgok,0.2255,Low,No action required
7293-lscdv,0.0368,Low,No action required
7025-wcbne,0.1576,Low,No action required
5756-jyojt,0.1664,Low,No action required
4710-fduiz,0.3412,Low,No action required
6030-rehux,0.731,High,Offer retention discount immediately
9548-ligta,0.0917,Low,No action required
5150-ljnsr,0.3073,Low,No action required
8270-rksap,0.8078,High,Offer retention discount immediately
6522-yrbxd,0.7068,High,Offer retention discount immediately
2640-lymov,0.4513,Medium,Send personalized engagement email
1218-vkfpe,0.1095,Low,No action required
3627-fhkbk,0.8068,High,Offer retention discount immediately
2865-tchjw,0.8734,High,Offer retention discount immediately
1423-bmpbq,0.5661,Medium,Send personalized engagement email
2393-divai,0.4277,Medium,Send personalized engagement email
5192-ebgov,0.9252,High,Offer retention discount immediately
4568-knywr,0.1509,Low,No action required
8752-imqos,0.0733,Low,No action required
0742-lafqk,0.2209,Low,No action required
0795-lafgp,0.101,Low,No action required
0619-olyur,0.1053,Low,No action required
5512-idzei,0.0921,Low,No action required
0459-spzhj,0.0911,Low,No action required
0215-bqkgs,0.5676,Medium,Send personalized engagement email
9244-zvapm,0.6847,Medium,Send personalized engagement email
0719-syfrb,0.4356,Medium,Send personalized engagement email
